tomb,cemetery,cem_condensed,Tomb Type,SM,EPG,MPG,LPG,PGB,EG,MG,LG,EO,LO,start_period,periods_used,start_date,end_date,time_used,century_built,chamber_diameter,chamber_width,chamber_depth,chamber_area,stomion_width,stomion_depth,dromos_length,dromos_width,chamber_burials,dromos_burials,total_burials,pithoi,all_urns,est_burials,gold,iron,bronze,silver,lead,electrum,other_metal,total_metal,bone_ivory,faience_blue,amber,organics,stone,glass_paste,clay,unknown_mat,total_object,adornment,tool,weapon,model,jewellery,strip,sheet,cooking,loom,clothing_armour,scarab,coin,component,seal,ornament,fitting,vessel,unidentified_use,other_use,stirrup_jar,jar,flask,oinochoai,amphora,thelastron,amphoriskos,hydria,pithos,jug_let,olpe,alabastron,lentoid_flask,lekythos,alabastron_aryballos,aryballos,bottle,bird_askos,pyxis,dinos,krater,krateriskos,lekanis,skyphos,bowl,cup,kantharos,plate_tray,kotyle,kalathos,lid,larnax,stand,house_model,kernos,other_vessel,unidentified_vessel,total_open_vessel,total_closed_vessel,total_other_vessel,total_pottery,total_finds,total_import,total_import_imitation,total_imitation,antique,pithoi1100-1050,pithoi1050-1000,pithoi1000-950,pithoi950-900,pithoi900-850,pithoi850-800,pithoi800-750,pithoi750-700,pithoi700-650,pithoi650-600,pots1100-1050,pots1050-1000,pots1000-950,pots950-900,pots900-850,pots850-800,pots800-750,pots750-700,pots700-650,pots650-600,SMpithoi,EPGpithoi,MPGpithoi,LPGpithoi,PGBpithoi,EGpithoi,MGpithoi,LGpithoi,EOpithoi,LOpithoi,SMpots,EPGpots,MPGpots,LPGpots,PGBpots,EGpots,MGpots,LGpots,EOpots,LOpots,1100,1090,1080,1070,1060,1050,1040,1030,1020,1010,1000,990,980,970,960,950,940,930,920,910,900,890,880,870,860,850,840,830,820,810,800,790,780,770,760,750,740,730,720,710,700,690,680,670,660,650,640,630,620,610
1,NC,NC,CT,,,,,,,x,x,x,,MG,MG-EO?,790,670,120,8th,,,,,,,,,,,0,7,7,5,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,2,11,5,18,21,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,2,8,7,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,4,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694444444,0.694444444,0.694444444,0.694444444,1.176984127,1.65952381,1.65952381,1.65952381,2.016666667,2.016666667,2.016666667,2.016666667,0.25,0.25,0.25,0.25,0,0,0
2,NC,NC,PC,x,,,,,,,,,,SM,SM,1100,970,130,11th,,1.06,1.66,1.7596,,,2,1.32,3,,3,1,1,1.666666667,0,5,1,0,0,0,0,6,1,0,0,1,1,0,0,0,9,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NC,NC,CT,,,,,,,,x,,,LG,LG,745,710,35,8th,1.26,,,,,,1.8,,,,0,2,2,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.571428571,0.571428571,0.571428571,0,0,0,0,0,0,0,0,0,0,0
9,NC,NC,PC?,,,,,,,,,,,,,,,0,#N/A,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,NC,NC,CT,,,,x,x,x,,,,x,PGB,PGB-LO*,840,630,210,9th,,1,1.44,1.44,0.82,0.3,3.5,1.24,9,,9,10,13,10.66666667,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,2,0,0,1,10,2,0,0,0,0,0,2,0,1,5,0,1,0,0,2,0,0,0,3,0,7,6,0,0,0,0,0,0,13,31,6,50,54,2,0,1,0,0,0,0,0,1,4,1,0,2,2,0,0,0,1,2,18,17,1,6,5,0,0,1,0,4,1,0,0,2,2,0,1,1,2,17,16,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0.076923077,0.076923077,0.076923077,0.143589744,0.143589744,0.143589744,0.143589744,0.143589744,0.143589744,0.143589744,0.143589744,0.143589744,0.363369963,0.506227106,0.506227106,0.506227106,5.087179487,5.087179487,5.020512821,9.353846154,9.353846154,0.153846154,0.153846154,0.153846154,0.153846154,0.076923077,0,0,0.333333333,1.708333333,1.708333333,1.375,1.375,1.375,1.375,1.375,1.375,0,0,0
14,NC,NC,CT,,,,,,,,x,x,x,LG,LG-LO,745,630,115,8th,,1,1.38,1.38,,,2.01,0.8,9,,9,7,7,7.666666667,0,3,1,0,0,0,0,4,0,0,0,0,2,2,0,0,8,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,1,0,0,0,3,0,9,0,1,0,0,0,0,1,4,0,4,0,2,1,0,12,0,0,0,0,1,0,12,22,13,47,55,2,0,2,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,7,35,5,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,5,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847619048,1.695238095,1.695238095,1.695238095,8.391666667,8.391666667,8.391666667,8.391666667,1.875,1.875,1.875,1.875,0,0,0
16,NC,NC,CT,x,,,,,,,,,,SM,SM,1100,970,130,11th,,1.3,1.2,1.56,0.94,,2.2,1.14,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.153846154,0.153846154,0.153846154,0.153846154,0.153846154,0.076923077,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0
18,NC,NC,CT,x,,,,x,x,x,,,,SM,SM-MG*,1100,745,355,11th,,1.3,1.7,2.21,0.7,,4.4,1,4,,4,2,3,3,1,1,0,0,0,0,0,2,0,0,4,0,1,1,0,0,8,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,4,9,2,15,23,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,5,6,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,4,3,3,0,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0.076923077,0.153846154,0.153846154,0.153846154,1.220512821,1.220512821,1.220512821,2.361538462,2.361538462,0.461538462,0.461538462,0.461538462,0.461538462,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NC,NC,CT,,,,,,,,x,x,x,LG,LG-LO,745,630,115,8th,,1.5,1.3,1.95,0.58,0.14,2.3,0.93,6,,6,4,4,4.666666667,0,1,2,0,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,1,1,0,0,5,0,3,0,0,1,0,0,0,1,2,0,3,0,0,0,0,5,0,0,0,0,0,0,6,17,5,28,32,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,14,13,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.542857143,3.085714286,3.085714286,3.085714286,4.05,4.05,4.05,4.05,0.25,0.25,0.25,0.25,0,0,0
24,NC,NC,CT,x,x,,,,,,,,,SM,SM-EPG,1100,920,180,11th,,1.66,2.1,3.486,0.75,0.3,5.8,1.12,3,,3,3,6,4,0,4,1,0,0,0,0,5,0,0,0,0,3,0,0,0,8,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,7,0,10,18,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,1,3,2,1,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,2,1,2,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.463492063,0.704761905,0.704761905,0.704761905,0.383333333,0.383333333,0.383333333,0.383333333,0.25,0.25,0.25,0.25,0.333333333,0.333333333,0.333333333
25,NC,NC,CT,x,x,,,,,,,,,SM,SM-EPG,1100,970,130,11th,,1.2,2.1,2.52,0.3,0.8,3.6,1.4,5,,5,1,2,2.666666667,0,2,10,0,0,0,0,12,0,0,0,0,0,0,0,0,12,3,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.177777778,0.177777778,0.177777778,0.177777778,0.177777778,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.625,0.625,0.625,0.625,0,0,0
26,NC,NC,PC?,x,,,,,,,x,x,x,SM,SM-LO*,1100,630,470,11th,,1.6,1.7,2.72,0.96,,,,4,,4,4,4,4,1,1,7,2,0,0,0,11,0,1,0,0,1,0,0,0,13,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,4,2,0,1,0,1,0,5,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,3,15,2,20,33,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,9,5,5,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,8,2,8,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,1.267857143,2.410714286,2.410714286,2.410714286,0.875,0.875,0.875,0.875,1.625,1.625,1.625,1.625,0,0,0
28,NC,NC,CT,,,,x,x,,,,x,,LPG,LPG-EO*,875,670,205,9th,,2,1.3,2.6,1,0.32,4,1.2,5,,5,2,5,4,0,5,2,0,0,0,0,7,0,0,0,0,0,1,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,5,0,2,0,0,0,0,2,0,0,0,0,1,0,8,10,2,20,28,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,13,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1.024175824,1.848351648,1.848351648,1.648351648,2.81025641,2.81025641,2.81025641,0.4,0.4,0,0,0,0,0,0,0,0,0.875,0.875,0.875,0.875,0.125,0.125,0.125,0.125,0,0,0
30,NC,NC,CT,,,x,x,,,,,x,,MPG,MPG-EO?,920,670,250,10th,,1.3,1.86,2.418,,,5.4,1.14,4,,4,0,3,2.333333333,0,2,2,0,0,0,0,4,0,0,0,0,1,0,1,0,6,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,5,1,9,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0,0,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,1.035714286,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0
31,NC,NC,LB,,,,,,,x,x,,,MG,MG-LG,790,710,80,8th,,0.5,0.9,0.45,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,4,0,1,0,0,0,1,0,0,0,2,0,11,5,3,19,20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607692308,0.607692308,1.274358974,1.274358974,1.274358974,1.674358974,2.33003663,2.928571429,2.871428571,2.871428571,0.285714286,0,0,0,0,0,0,0,0,0,0
34,NC,NC,CT,,,,,,,,,x,x,EO,EO-LO,710,630,80,8th,,2,1.45,2.9,,,1.2,0.7,10,,10,4,4,6,0,1,13,0,0,0,0,14,0,5,0,1,4,0,0,0,24,1,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,8,0,0,0,0,4,4,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,10,0,1,3,0,1,0,0,0,0,1,0,16,20,2,38,62,9,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,5,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0.173913043,0.173913043,1.316770186,1.566770186,1.566770186,0.566770186,0.566770186,7.066770186,7.066770186,8.59057971,7.923913043,1,0.333333333,0
40,NC,NC,CT,x,,,,,,,x,x,x,SM,SM-LO*,1100,630,470,11th,,1.82,1.78,3.2396,0.96,,4.6,1.4,4,,4,9,11,8,2,7,2,1,0,0,0,12,3,0,0,1,0,0,0,0,16,10,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,3,7,2,0,1,0,9,0,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,6,0,1,1,0,4,0,0,0,0,1,0,8,33,5,46,62,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,12,0,0,0,0,1,4,7,22,0,0,0,0,0,0,0,1,3,5,12,0,0,0,0,0,1,3,6,24,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.606349206,0.99047619,0.99047619,0.99047619,1.633333333,1.633333333,1.633333333,1.633333333,5.75,5.75,5.75,5.75,0,0,0
44,NC,NC,CT,,,,,,,,,,,,,,,0,#N/A,,1.9,1.6,3.04,,,3.4,1.06,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,NC,NC,CT,,x,,,,,,,,x,EPG,EPG-LO*,970,630,340,10th,,1.8,1.5,2.7,0.25,0.65,3.7,1.36,1,,1,1,3,1.666666667,0,2,5,1,0,0,0,8,0,0,0,0,0,0,0,0,8,2,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0
48,NC,NC,CT,x,x,,,,,x,x,x,x,SM,SM-LO*,1100,630,470,11th,,2.68,1.65,4.422,,,5.6,1.2,6,,6,4,9,6.333333333,1,3,14,0,0,0,0,18,0,1,0,0,0,0,0,0,19,5,1,2,0,1,0,8,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,12,1,16,35,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,9,0,0,1,1,1,2,0,3,0,0,0,0,0,0,0,1,2,9,0,0,0,0,1,1,0,3,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,1.816374269,1.816374269,1.816374269,1.816374269,1.816374269,0.105263158,0.105263158,0.105263158,0.105263158,0.052631579,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.253968254,0.285714286,0.285714286,0.285714286,0.125,0.125,0.125,0.125,0.625,0.625,0.625,0.625,0,0,0
55,NC,NC,CT,,x,,,,,,,,,EPG,EPG,970,920,50,10th,,1.33,1.2,1.596,,,3,0.86,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,NC,NC,CT,x,x,,,,,,,x,x,SM,SM-LO*,1100,630,470,11th,,1.7,1.2,2.04,,0.65,2.4,1.3,6,,6,3,6,5,0,3,20,1,0,0,0,24,0,6,0,1,0,0,2,0,33,7,0,1,0,2,1,4,0,0,0,0,0,5,0,0,0,11,0,1,0,0,0,6,2,0,0,0,3,3,1,1,0,1,0,5,0,0,0,3,1,0,0,0,0,1,0,0,3,0,4,1,1,0,0,1,0,8,22,7,37,70,9,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,2,2,30,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,2,29,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.311111111,0.311111111,0.311111111,0.311111111,0.311111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.791666667,0.93452381,0.267857143,0.267857143,6.767857143,6.767857143,7.93452381,8.267857143,1,0.333333333,0
